FID,vid,id,source,project,pcode,name,visit_date,visit,novisit_reason,geom,longitude,latitude,location_origin,prefecture,sousprefecture,commune,village,chantiers_numb,workers_numb,workers_women,workers_women_work_type,childunder15,childunder15_work_type,minerals,minerals_diamant,minerals_or,minerals_autre,production_destination,services1_name,services1_frequency,services2_name,services2_frequency,services3_name,services3_frequency,actor_type,actor1name,actor1name_frequency,actor1name_tax,actor1name_pillage,actor1name_forcedlabour,actor1name_buyminerals,actor1name_digging,actor1name_monopoly,actor2name,actor2name_frequency,actor2name_tax,actor2name_pillage,actor2name_forcedlabour,actor2name_buyminerals,actor2name_digging,actor2name_monopoly,actor3name,actor3name_frequency,actor3name_tax,actor3name_pillage,actor3name_forcedlabour,actor3name_buyminerals,actor3name_digging,actor3name_monopoly,roadblocks,roadblocks_actor,environment_water_change,environment_deforestation,conflict_category,conflict_type,accident_injured,accident_dead
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b7c,1,15,IPIS,IPIS - TetraTech 2019,cafmine00015,Pouadoungbe,2019/3/28,1,,POINT (17.8380616667 3.8303266667),17.83806167,3.83032667,GPS,Lobaye,Mbaïki,Moboma,Ndolobo,3,250,0,,20,"Concasser, Laver, Traiter",Or,0,1,0,"Bagandou, Dubaï",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension chauffage,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b7d,2,1,IPIS,IPIS - TetraTech 2019,cafmine00001,Adouzekede,2019/4/22,1,,POINT (17.467914 4.794698),17.467914,4.794698,Approximation,Ombella-M'Poko,Bossembélé,La Mbi,Lambi,3,30,5,"Creuser, Creuser sous terre, Laver",0,,"Diamant, Or",1,1,0,"Bossembélé, Bouar, Cameroun, Bangui",Gendarmerie,aleatoire,Autorités locales ou coutumières,aleatoire,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,etayement extension chauffage,Conflit lié _ l__xploitation artisanale,"Conflits de limites, Litige de propriété entre chantiers sur le même site",1,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b7e,3,16,IPIS,IPIS - TetraTech 2019,cafmine00016,Nkongue,2019/4/22,1,,POINT (17.8371166667 3.83392),17.83711667,3.83392,GPS,Lobaye,Mbaïki,Moboma,Ndolobo,3,150,0,,16,"Concasser, Laver, Traiter",Or,0,1,0,"Ndolobo, Bagandou",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b7f,4,2,IPIS,IPIS - TetraTech 2019,cafmine00002,Adouzekede,2019/4/23,1,,POINT (17.4648 4.796248),17.4648,4.796248,Approximation,Ombella-M'Poko,Bossembélé,La Mbi,Lambi Pont,2,51,10,"Creuser, Creuser sous terre, Laver, Traiter",19,"Laver, Traiter","Diamant, Or",1,1,0,"Bangui, Boda, Yaloké",Autorités locales ou coutumières,aleatoire,Gendarmerie,aleatoire,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,etayement extension chauffage,,,1,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b80,5,3,IPIS,IPIS - TetraTech 2019,cafmine00003,Ngom-Mbata,2019/4/23,1,,POINT (17.5029833333 4.760425),17.50298333,4.760425,GPS,Ombella-M'Poko,Bossembélé,La Mbi,Lambi,1,3,0,,0,,Or,0,1,0,Yaloké,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,etayement extension chauffage,"Conflit lié _ l__xploitation artisanale, Conflit avec des sociétés minières","Conflits de limites, Litige de propriété du site avec d'autres activités, Conflits entre propriétaires et exploitants, Avec la société minière socarem qui veut s'accaparer du site sans autorisation et applications fiables aux propriétaires des chantiers sur la nature de leurs activités, nous pensons qu'un conflit sera inévitable qui va impacter sur la production de ces derniers temps dans la localité.",0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b81,6,4,IPIS,IPIS - TetraTech 2019,cafmine00004,Drol,2019/4/23,1,,POINT (17.516961 4.727429),17.516961,4.727429,Approximation,Ombella-M'Poko,Bossembélé,La Mbi,Lambi,2,52,0,,9,"Creuser, Laver, Traiter","Diamant, Or, Carbone",1,1,1,"Lamba, Bangui",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,extension chauffage,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b82,7,5,IPIS,IPIS - TetraTech 2019,cafmine00005,Drol,2019/4/23,1,,POINT (17.4648 4.796248),17.4648,4.796248,Approximation,Ombella-M'Poko,Bossembélé,La Mbi,Lambi,2,32,0,,5,Autres activités,Or,0,1,0,"Boda, Yaloké",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,etayement extension chauffage,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b83,8,9,IPIS,IPIS - TetraTech 2019,cafmine00009,Ndemou,2019/4/23,1,,POINT (15.691968 6.82967),15.691968,6.82967,Approximation,Ouham-Pendé,Bocaranga,Péndé,Boléré,4,100,60,"Concasser, Laver, Transporter",10,"Concasser, Laver, Transporter",Or,0,1,0,"Bozoum, Garoua Boulaï, Mbai Mboum, Nigeria",Services de santé,trois_mois,Administration des mines,aleatoire,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension chauffage etayement,"Conflit lié _ l__xploitation artisanale, Conflit avec des acteurs extérieurs au site","Conflits de limites, Conflits avec agriculteurs, Conflits avec des groupes armés non-étatiques",0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b84,9,17,IPIS,IPIS - TetraTech 2019,cafmine00017,Mengui 2,2019/4/23,1,,POINT (17.796555 3.8598816667),17.796555,3.85988167,GPS,Lobaye,Mbaïki,Bogongo Gaza,Mengui,1,70,0,,6,"Creuser, Concasser, Laver, Transporter, Traiter",Or,0,1,0,"Ndolobo, Mbaïki, Bangui",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,extension,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b85,10,18,IPIS,IPIS - TetraTech 2019,cafmine00018,Mengui 1,2019/4/23,1,,POINT (17.8067966667 3.8381383333),17.80679667,3.83813833,GPS,Lobaye,Mbaïki,Bogongo Gaza,Mengui,4,120,0,,30,"Concasser, Laver, Traiter",Or,0,1,0,"Ndolobo, Mbaïki, Bangui, Congo",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension chauffage,,,0,0
